# CMU Pronouncing Dictionary subset (corpus vocabulary only)
#
# ARPABET phoneme transcriptions for the words that appear in the Mitski lyrics
# corpus. Used by src/mitski_analysis/text.py:rhyme_summary to detect end rhymes
# by comparing the "rime" (last stressed vowel to the end) of line-final words.
#
# Source:  The CMU Pronouncing Dictionary (cmudict), Carnegie Mellon University.
#          https://github.com/cmusphinx/cmudict
# License: Public domain (CMU's BSD-2-Clause-style permissive license; the
#          dictionary data is free for any use).
#
# Format:  one entry per line, "word<TAB>ARPABET phonemes" (e.g. "light<TAB>L AY1 T").
#          Only the primary pronunciation of each word is kept. Lines starting
#          with "#" and blank lines are ignored by the loader.
#
# Generated by scripts/build_pron_lexicon.py from a full cmudict; edit that
# script (or its input), not this file, to regenerate.
a	AH0
dancer	D AE1 N S ER0
dancers	D AE1 N S ER0 Z
dances	D AE1 N S AH0 Z
dancing	D AE1 N S IH0 NG
dare	D EH1 R
dark	D AA1 R K
darkness	D AA1 R K N AH0 S
darling	D AA1 R L IH0 NG
day	D EY1
daydream	D EY1 D R IY2 M
daylight	D EY1 L AY2 T
days	D EY1 Z
de	D IY1
dead	D EH1 D
deadline	D EH1 D L AY2 N
deal	D IY1 L
dear	D IH1 R
death	D EH1 TH
deep	D IY1 P
deeper	D IY1 P ER0
deserve	D IH0 Z ER1 V
destroy	D IH0 S T R OY1
destroyed	D IH0 S T R OY1 D
devil	D EH1 V AH0 L
devils	D EH1 V AH0 L Z
devotion	D IH0 V OW1 SH AH0 N
dialogue	D AY1 AH0 L AO2 G
did	D IH1 D
didn't	D IH1 D AH0 N T
die	D AY1
died	D AY1 D
difference	D IH1 F ER0 AH0 N S
different	D IH1 F ER0 AH0 N T
diner	D AY1 N ER0
dip	D IH1 P
dirt	D ER1 T
dirty	D ER1 T IY0
disappear	D IH2 S AH0 P IH1 R
dissolve	D IH0 Z AA1 L V
distant	D IH1 S T AH0 N T
ditch	D IH1 CH
dive	D AY1 V
diver	D AY1 V ER0
do	D UW1
does	D AH1 Z
doesn't	D AH1 Z AH0 N T
dog	D AO1 G
dogs	D AA1 G Z
doing	D UW1 IH0 NG
dome	D OW1 M
don't	D OW1 N T
done	D AH1 N
doo	D UW1
door	D AO1 R
doorstep	D AO1 R S T EH2 P
down	D AW1 N
dozen	D AH1 Z AH0 N
drawer	D R AO1 R
dream	D R IY1 M
dreaming	D R IY1 M IH0 NG
dreams	D R IY1 M Z
dress	D R EH1 S
dressed	D R EH1 S T
drink	D R IH1 NG K
drinker	D R IH1 NG K ER0
drinking	D R IH1 NG K IH0 NG
dripping	D R IH1 P IH0 NG
drive	D R AY1 V
driveway	D R AY1 V W EY2
driving	D R AY1 V IH0 NG
drop	D R AA1 P
drops	D R AA1 P S
drown	D R AW1 N
drowned	D R AW1 N D
drunken	D R AH1 NG K AH0 N
dry	D R AY1
du	D UW1
dum	D AH1 M
dumpty	D AH1 M P T IY0
dust	D AH1 S T
dying	D AY1 IH0 NG
e	IY1
each	IY1 CH
ear	IY1 R
early	ER1 L IY0
earn	ER1 N
earth	ER1 TH
ease	IY1 Z
eased	IY1 Z D
easier	IY1 Z IY0 ER0
eat	IY1 T
eaten	IY1 T AH0 N
echo	EH1 K OW0
eggshells	EH1 G SH EH2 L Z
eight	EY1 T
ek	EH1 K
eleven	IH0 L EH1 V AH0 N
eli	IY1 L AY0
else	EH1 L S
embalm	EH0 M B AA1 M
empty	EH1 M P T IY0
end	EH1 N D
ended	EH1 N D AH0 D
ending	EH1 N D IH0 NG
ends	EH1 N D Z
enjoy	EH2 N JH OY1
enough	IH0 N AH1 F
er	ER0
escape	IH0 S K EY1 P
even	IY1 V IH0 N
evenings	IY1 V N IH0 NG Z
ever	EH1 V ER0
every	EH1 V ER0 IY0
everybody	EH1 V R IY0 B AA2 D IY0
everyone	EH1 V R IY0 W AH2 N
everyone's	EH1 V R IY0 W AH2 N Z
everything	EH1 V R IY0 TH IH2 NG
everything's	EH1 V R IY0 TH IH2 NG Z
everywhere	EH1 V R IY0 W EH2 R
except	IH0 K S EH1 P T
exciting	IH0 K S AY1 T IH0 NG
excuse	IH0 K S K Y UW1 S
exist	IH0 G Z IH1 S T
exits	EH1 G Z IH0 T S
expert	EH1 K S P ER0 T
extra	EH1 K S T R AH0
eye	AY1
eyelid	AY1 L IH2 D
eyes	AY1 Z
face	F EY1 S
faded	F EY1 D AH0 D
fading	F EY1 D IH0 NG
faithful	F EY1 TH F AH0 L
fall	F AO1 L
fallin	F AE1 L IH0 N
falling	F AA1 L IH0 NG
falls	F AO1 L Z
family	F AE1 M AH0 L IY0
famous	F EY1 M AH0 S
far	F AA1 R
fascists	F AE1 SH IH0 S T S
fast	F AE1 S T
fate	F EY1 T
fates	F EY1 T S
fear	F IH1 R
feed	F IY1 D
feeding	F IY1 D IH0 NG
feeds	F IY1 D Z
feel	F IY1 L
feeling	F IY1 L IH0 NG
feelings	F IY1 L IH0 NG Z
feels	F IY1 L Z
fell	F EH1 L
felt	F EH1 L T
fence	F EH1 N S
few	F Y UW1
fields	F IY1 L D Z
fifteen	F IH0 F T IY1 N
figure	F IH1 G Y ER0
fill	F IH1 L
filling	F IH1 L IH0 NG
fin	F IH1 N
finale	F AH0 N AE1 L IY0
finally	F AY1 N AH0 L IY0
find	F AY1 N D
fine	F AY1 N
fingers	F IH1 NG G ER0 Z
fire	F AY1 ER0
fireflies	F AY1 ER0 F L AY2 Z
fireproof	F AY1 ER0 P R UW2 F
fireworks	F AY1 R W ER2 K S
first	F ER1 S T
fish	F IH1 SH
five	F AY1 V
fix	F IH1 K S
flame	F L EY1 M
flashlights	F L AE1 SH L AY2 T S
flinch	F L IH1 N CH
float	F L OW1 T
floating	F L OW1 T IH0 NG
flooding	F L AH1 D IH0 NG
floor	F L AO1 R
flowers	F L AW1 ER0 Z
flowing	F L OW1 IH0 NG
flows	F L OW1 Z
fluorescent	F L UH2 R EH1 S AH0 N T
flutters	F L AH1 T ER0 Z
fly	F L AY1
flying	F L AY1 IH0 NG
focus	F OW1 K AH0 S
follow	F AA1 L OW0
following	F AA1 L OW0 IH0 NG
food	F UW1 D
fool	F UW1 L
fools	F UW1 L Z
for	F AO1 R
forecasted	F AO1 R K AE2 S T IH0 D
forest	F AO1 R AH0 S T
forever	F ER0 EH1 V ER0
forget	F ER0 G EH1 T
forgive	F ER0 G IH1 V
forgot	F ER0 G AA1 T
forgotten	F ER0 G AA1 T AH0 N
fossilize	F AA1 S AH0 L AY2 Z
fought	F AO1 T
found	F AW1 N D
four	F AO1 R
frail	F R EY1 L
frame	F R EY1 M
free	F R IY1
freedom	F R IY1 D AH0 M
freely	F R IY1 L IY0
freight	F R EY1 T
fridge	F R IH1 JH
friend	F R EH1 N D
friends	F R EH1 N D Z
frightened	F R AY1 T AH0 N D
from	F R AH1 M
front	F R AH1 N T
frost	F R AO1 S T
fuck	F AH1 K
fucks	F AH1 K S
full	F UH1 L
funny	F AH1 N IY0
furrowed	F ER1 OW0 D
further	F ER1 DH ER0
fury	F Y UH1 R IY0
g	JH IY1
game	G EY1 M
gaps	G AE1 P S
garden	G AA1 R D AH0 N
gates	G EY1 T S
gather	G AE1 DH ER0
gathered	G AE1 DH ER0 D
gave	G EY1 V
gay	G EY1
gaze	G EY1 Z
gentle	JH EH1 N T AH0 L
gentleman	JH EH1 N T AH0 L M AH0 N
geri	JH EH1 R IY2
get	G EH1 T
gets	G EH1 T S
geyser	G AY1 Z ER0
ghosts	G OW1 S T S
girl	G ER1 L
girlfriend	G ER1 L F R EH2 N D
girls	G ER1 L Z
give	G IH1 V
given	G IH1 V AH0 N
giving	G IH1 V IH0 NG
glad	G L AE1 D
glass	G L AE1 S
glides	G L AY1 D Z
glimmering	G L IH1 M ER0 IH0 NG
global	G L OW1 B AH0 L
glory	G L AO1 R IY0
gloves	G L AH1 V Z
glow	G L OW1
glue	G L UW1
go	G OW1
god	G AA1 D
god's	G AA1 D Z
going	G OW1 IH0 NG
golden	G OW1 L D AH0 N
gone	G AO1 N
gonna	G AA1 N AH0
good	G UH1 D
goodbye	G UH2 D B AY1
goodnight	G UH1 D N AY2 T
got	G AA1 T
gotta	G AA1 T AH0
grace	G R EY1 S
grass	G R AE1 S
grave	G R EY1 V
gray	G R EY1
great	G R EY1 T
grew	G R UW1
grin	G R IH1 N
grip	G R IH1 P
ground	G R AW1 N D
growing	G R OW1 IH0 NG
grown	G R OW1 N
guess	G EH1 S
guy	G AY1
guys	G AY1 Z
gymnasium	JH IH0 M N EY1 Z IY0 AH0 M
h	EY1 CH
had	HH AE1 D
hail	HH EY1 L
hair	HH EH1 R
haircut	HH EH1 R K AH2 T
half	HH AE1 F
hand	HH AE1 N D
hands	HH AE1 N D Z
hang	HH AE1 NG
hanging	HH AE1 NG IH0 NG
hangs	HH AE1 NG Z
happen	HH AE1 P AH0 N
happened	HH AE1 P AH0 N D
happens	HH AE1 P AH0 N Z
happy	HH AE1 P IY0
harc	HH AA1 R K
hard	HH AA1 R D
harden	HH AA1 R D AH0 N
harder	HH AA1 R D ER0
hardest	HH AA1 R D AH0 S T
harming	HH AA1 R M IH0 NG
harmony	HH AA1 R M AH0 N IY0
has	HH AE1 Z
hat	HH AE1 T
hate	HH EY1 T
have	HH AE1 V
haven't	HH AE1 V AH0 N T
having	HH AE1 V IH0 NG
he	HH IY1
he'd	HH IY1 D
he's	HH IY1 Z
head	HH EH1 D
headlight	HH EH1 D L AY2 T
heal	HH IY1 L
hear	HH IY1 R
heard	HH ER1 D
heart	HH AA1 R T
heart's	HH AA1 R T S
heartbreak	HH AA1 R T B R EY2 K
hearth	HH AA1 R TH
heat	HH IY1 T
heaven	HH EH1 V AH0 N
heels	HH IY1 L Z
held	HH EH1 L D
hell	HH EH1 L
hello	HH AH0 L OW1
help	HH EH1 L P
her	HH ER1
here	HH IY1 R
here's	HH IH1 R Z
herself	HH ER0 S EH1 L F
hey	HH EY1
hi	HH AY1
hid	HH IH1 D
high	HH AY1
highest	HH AY1 AH0 S T
highway	HH AY1 W EY2
him	HH IH1 M
his	HH IH1 Z
hit	HH IH1 T
hits	HH IH1 T S
hitting	HH IH1 T IH0 NG
hmm	HH M
ho	HH OW1
hold	HH OW1 L D
holding	HH OW1 L D IH0 NG
holds	HH OW1 L D Z
hole	HH OW1 L
hollow	HH AA1 L OW0
hom	HH AA1 M
home	HH OW1 M
honest	AA1 N AH0 S T
honestly	AA1 N AH0 S T L IY0
honey	HH AH1 N IY0
hoo	HH UW1
hope	HH OW1 P
hopeless	HH OW1 P L AH0 S
hopes	HH OW1 P S
horn	HH AO1 R N
horse	HH AO1 R S
horses	HH AO1 R S AH0 Z
hosting	HH OW1 S T IH0 NG
hotter	HH AA1 T ER0
hounds	HH AW1 N D Z
hour	AW1 ER0
hours	AW1 ER0 Z
house	HH AW1 S
housed	HH AW1 Z D
how	HH AW1
huh	HH AH1
human	HH Y UW1 M AH0 N
humpty	HH AH1 M P T IY0
hums	HH AH1 M Z
hundred	HH AH1 N D R AH0 D
hunger	HH AH1 NG G ER0
hungry	HH AH1 NG G R IY0
hunter	HH AH1 N T ER0
hurry	HH ER1 IY0
hurt	HH ER1 T
hurts	HH ER1 T S
husband	HH AH1 Z B AH0 N D
i	AY1
i'd	AY1 D
i'll	AY1 L
i'm	AY1 M
i've	AY1 V
idea	AY0 D IY1 AH0
identify	AY0 D EH1 N T AH0 F AY2
idiot	IH1 D IY2 AH0 T
if	IH1 F
il	IH1 L
illuminate	IH2 L UW1 M IH0 N IH0 T
im	IH1 M
in	IH0 N
inconvenient	IH2 N K AH0 N V IY1 N Y AH0 N T
incredibly	IH2 N K R EH1 D AH0 B L IY0
inhibition	IH2 N HH AH0 B IH1 SH AH0 N
inside	IH2 N S AY1 D
instant	IH1 N S T AH0 N T
instead	IH2 N S T EH1 D
instrumental	IH2 N S T R AH0 M EH1 N T AH0 L
intend	IH2 N T EH1 N D
intercom	IH1 N T ER0 K AA2 M
interlude	IH1 N T ER0 L UW2 D
interview	IH1 N T ER0 V Y UW2
into	IH1 N T UW0
intro	IH1 N T R OW0
is	IH1 Z
isaiah	AY2 Z EY1 AH0
isn't	IH1 Z AH0 N T
it	IH1 T
it'll	IH1 T AH0 L
it's	IH1 T S
itch	IH1 CH
its	IH1 T S
itself	IH2 T S EH1 L F
jerusalem	JH ER0 UW1 S AH0 L AH0 M
jet	JH EH1 T
job	JH AA1 B
jogging	JH AA1 G IH0 NG
judgment	JH AH1 JH M AH0 N T
jump	JH AH1 M P
just	JH AH1 S T
k	K EY1
karam	K AE1 R AH0 M
keep	K IY1 P
keeper	K IY1 P ER0
keeping	K IY1 P IH0 NG
keeps	K IY1 P S
kept	K EH1 P T
key	K IY1
ki	K IY1
kick	K IH1 K
kid	K IH1 D
kids	K IH1 D Z
kill	K IH1 L
killer	K IH1 L ER0
kind	K AY1 N D
kindly	K AY1 N D L IY0
king	K IH1 NG
kiss	K IH1 S
kissed	K IH1 S T
kisses	K IH1 S AH0 Z
kitchen	K IH1 CH AH0 N
kneel	N IY1 L
knees	N IY1 Z
knew	N UW1
knife	N AY1 F
knock	N AA1 K
know	N OW1
knowing	N OW1 IH0 NG
known	N OW1 N
knows	N OW1 Z
l	EH1 L
la	L AA1
labyrinth	L AE1 B ER0 IH2 N TH
lady	L EY1 D IY0
laid	L EY1 D
lake	L EY1 K
lamp	L AE1 M P
land	L AE1 N D
lane	L EY1 N
last	L AE1 S T
late	L EY1 T
lately	L EY1 T L IY0
later	L EY1 T ER0
laugh	L AE1 F
lawn	L AO1 N
lawns	L AO1 N Z
lay	L EY1
lead	L EH1 D
leading	L IY1 D IH0 NG
leaf	L IY1 F
lean	L IY1 N
learn	L ER1 N
learned	L ER1 N D
least	L IY1 S T
leave	L IY1 V
leaves	L IY1 V Z
leaving	L IY1 V IH0 NG
led	L EH1 D
ledge	L EH1 JH
left	L EH1 F T
leftover	L EH1 F T OW2 V ER0
lengths	L EH1 NG K TH S
less	L EH1 S
let	L EH1 T
let's	L EH1 T S
lib	L IH1 B
liberty	L IH1 B ER0 T IY2
lie	L AY1
life	L AY1 F
lifetime	L AY1 F T AY2 M
lift	L IH1 F T
light	L AY1 T
lightning	L AY1 T N IH0 NG
lights	L AY1 T S
like	L AY1 K
liked	L AY1 K T
limbs	L IH1 M Z
line	L AY1 N
lined	L AY1 N D
lines	L AY1 N Z
lipstick	L IH1 P S T IH2 K
liquid	L IH1 K W AH0 D
list	L IH1 S T
listen	L IH1 S AH0 N
lit	L IH1 T
little	L IH1 T AH0 L
littler	L IH1 T AH0 L ER0
live	L AY1 V
lived	L IH1 V D
lives	L IH1 V Z
living	L IH1 V IH0 NG
loan	L OW1 N
locked	L AA1 K T
loitering	L OY1 T ER0 IH0 NG
lonely	L OW1 N L IY0
lonesome	L OW1 N S AH0 M
long	L AO1 NG
longer	L AO1 NG G ER0
look	L UH1 K
looked	L UH1 K T
looking	L UH1 K IH0 NG
looks	L UH1 K S
los	L OW1 S
lose	L UW1 Z
loser	L UW1 Z ER0
losing	L UW1 Z IH0 NG
lost	L AO1 S T
lot	L AA1 T
loud	L AW1 D
love	L AH1 V
love's	L AH1 V Z
loved	L AH1 V D
lovely	L AH1 V L IY0
lover	L AH1 V ER0
loves	L AH1 V Z
loving	L AH1 V IH0 NG
low	L OW1
luck	L AH1 K
lying	L AY1 IH0 NG
lyrical	L IH1 R IH0 K AH0 L
m	EH1 M
ma	M AA1
machine	M AH0 SH IY1 N
mad	M AE1 D
made	M EY1 D
magic	M AE1 JH IH0 K
main	M EY1 N
mak	M AE1 K
make	M EY1 K
makes	M EY1 K S
makeup	M EY1 K AH2 P
makin	M AE1 K IH0 N
making	M EY1 K IH0 NG
mall	M AO1 L
mama	M AA1 M AH0
man	M AE1 N
manage	M AE1 N AH0 JH
many	M EH1 N IY0
map	M AE1 P
maple	M EY1 P AH0 L
marking	M AA1 R K IH0 NG
married	M EH1 R IY0 D
matter	M AE1 T ER0
matters	M AE1 T ER0 Z
may	M EY1
maya	M AY1 AH0
maybe	M EY1 B IY0
maze	M EY1 Z
me	M IY1
mean	M IY1 N
means	M IY1 N Z
meant	M EH1 N T
meantime	M IY1 N T AY2 M
medication	M EH2 D AH0 K EY1 SH AH0 N
medicine	M EH1 D AH0 S AH0 N
meet	M IY1 T
meeting	M IY1 T IH0 NG
melody	M EH1 L AH0 D IY0
melt	M EH1 L T
melted	M EH1 L T AH0 D
memories	M EH1 M ER0 IY0 Z
memory	M EH1 M ER0 IY0
men	M EH1 N
mercy	M ER1 S IY0
merry	M EH1 R IY0
mess	M EH1 S
